0 = (('localhost', 'platform_test_0', 'root', 'sa'), 0)
1 = (('localhost', 'platform_test_1', 'root', 'sa'), 0)
2 = (('localhost', 'platform_test_2', 'root', 'sa'), 0)
3 = (('localhost', 'platform_test_3', 'root', 'sa'), 0)
4 = (('localhost', 'platform_test_4', 'root', 'sa'), 0)
5 = (('localhost', 'platform_test_5', 'root', 'sa'), 0)
6 = (('localhost', 'platform_test_6', 'root', 'sa'), 0)
7 = (('localhost', 'platform_test_7', 'root', 'sa'), 0)
8 = (('localhost', 'platform_test_8', 'root', 'sa'), 0)
9 = (('localhost', 'platform_test_9', 'root', 'sa'), 0)
10 = (('localhost', 'platform_test_10', 'root', 'sa'), 0)
11 = (('localhost', 'platform_test_11', 'root', 'sa'), 0)
12 = (('localhost', 'platform_test_12', 'root', 'sa'), 0)
13 = (('localhost', 'platform_test_13', 'root', 'sa'), 0)
14 = (('localhost', 'platform_test_14', 'root', 'sa'), 0)
15 = (('localhost', 'platform_test_15', 'root', 'sa'), 0)
16 = (('localhost', 'platform_test_0', 'root', 'sa'), 1)
17 = (('localhost', 'platform_test_1', 'root', 'sa'), 1)
18 = (('localhost', 'platform_test_2', 'root', 'sa'), 1)
19 = (('localhost', 'platform_test_3', 'root', 'sa'), 1)
20 = (('localhost', 'platform_test_4', 'root', 'sa'), 1)
21 = (('localhost', 'platform_test_5', 'root', 'sa'), 1)
22 = (('localhost', 'platform_test_6', 'root', 'sa'), 1)
23 = (('localhost', 'platform_test_7', 'root', 'sa'), 1)
24 = (('localhost', 'platform_test_8', 'root', 'sa'), 1)
25 = (('localhost', 'platform_test_9', 'root', 'sa'), 1)
26 = (('localhost', 'platform_test_10', 'root', 'sa'), 1)
27 = (('localhost', 'platform_test_11', 'root', 'sa'), 1)
28 = (('localhost', 'platform_test_12', 'root', 'sa'), 1)
29 = (('localhost', 'platform_test_13', 'root', 'sa'), 1)
30 = (('localhost', 'platform_test_14', 'root', 'sa'), 1)
31 = (('localhost', 'platform_test_15', 'root', 'sa'), 1)
32 = (('localhost', 'platform_test_0', 'root', 'sa'), 2)
33 = (('localhost', 'platform_test_1', 'root', 'sa'), 2)
34 = (('localhost', 'platform_test_2', 'root', 'sa'), 2)
35 = (('localhost', 'platform_test_3', 'root', 'sa'), 2)
36 = (('localhost', 'platform_test_4', 'root', 'sa'), 2)
37 = (('localhost', 'platform_test_5', 'root', 'sa'), 2)
38 = (('localhost', 'platform_test_6', 'root', 'sa'), 2)
39 = (('localhost', 'platform_test_7', 'root', 'sa'), 2)
40 = (('localhost', 'platform_test_8', 'root', 'sa'), 2)
41 = (('localhost', 'platform_test_9', 'root', 'sa'), 2)
42 = (('localhost', 'platform_test_10', 'root', 'sa'), 2)
43 = (('localhost', 'platform_test_11', 'root', 'sa'), 2)
44 = (('localhost', 'platform_test_12', 'root', 'sa'), 2)
45 = (('localhost', 'platform_test_13', 'root', 'sa'), 2)
46 = (('localhost', 'platform_test_14', 'root', 'sa'), 2)
47 = (('localhost', 'platform_test_15', 'root', 'sa'), 2)
48 = (('localhost', 'platform_test_0', 'root', 'sa'), 3)
49 = (('localhost', 'platform_test_1', 'root', 'sa'), 3)
50 = (('localhost', 'platform_test_2', 'root', 'sa'), 3)
51 = (('localhost', 'platform_test_3', 'root', 'sa'), 3)
52 = (('localhost', 'platform_test_4', 'root', 'sa'), 3)
53 = (('localhost', 'platform_test_5', 'root', 'sa'), 3)
54 = (('localhost', 'platform_test_6', 'root', 'sa'), 3)
55 = (('localhost', 'platform_test_7', 'root', 'sa'), 3)
56 = (('localhost', 'platform_test_8', 'root', 'sa'), 3)
57 = (('localhost', 'platform_test_9', 'root', 'sa'), 3)
58 = (('localhost', 'platform_test_10', 'root', 'sa'), 3)
59 = (('localhost', 'platform_test_11', 'root', 'sa'), 3)
60 = (('localhost', 'platform_test_12', 'root', 'sa'), 3)
61 = (('localhost', 'platform_test_13', 'root', 'sa'), 3)
62 = (('localhost', 'platform_test_14', 'root', 'sa'), 3)
63 = (('localhost', 'platform_test_15', 'root', 'sa'), 3)
64 = (('localhost', 'platform_test_0', 'root', 'sa'), 4)
65 = (('localhost', 'platform_test_1', 'root', 'sa'), 4)
66 = (('localhost', 'platform_test_2', 'root', 'sa'), 4)
67 = (('localhost', 'platform_test_3', 'root', 'sa'), 4)
68 = (('localhost', 'platform_test_4', 'root', 'sa'), 4)
69 = (('localhost', 'platform_test_5', 'root', 'sa'), 4)
70 = (('localhost', 'platform_test_6', 'root', 'sa'), 4)
71 = (('localhost', 'platform_test_7', 'root', 'sa'), 4)
72 = (('localhost', 'platform_test_8', 'root', 'sa'), 4)
73 = (('localhost', 'platform_test_9', 'root', 'sa'), 4)
74 = (('localhost', 'platform_test_10', 'root', 'sa'), 4)
75 = (('localhost', 'platform_test_11', 'root', 'sa'), 4)
76 = (('localhost', 'platform_test_12', 'root', 'sa'), 4)
77 = (('localhost', 'platform_test_13', 'root', 'sa'), 4)
78 = (('localhost', 'platform_test_14', 'root', 'sa'), 4)
79 = (('localhost', 'platform_test_15', 'root', 'sa'), 4)
80 = (('localhost', 'platform_test_0', 'root', 'sa'), 5)
81 = (('localhost', 'platform_test_1', 'root', 'sa'), 5)
82 = (('localhost', 'platform_test_2', 'root', 'sa'), 5)
83 = (('localhost', 'platform_test_3', 'root', 'sa'), 5)
84 = (('localhost', 'platform_test_4', 'root', 'sa'), 5)
85 = (('localhost', 'platform_test_5', 'root', 'sa'), 5)
86 = (('localhost', 'platform_test_6', 'root', 'sa'), 5)
87 = (('localhost', 'platform_test_7', 'root', 'sa'), 5)
88 = (('localhost', 'platform_test_8', 'root', 'sa'), 5)
89 = (('localhost', 'platform_test_9', 'root', 'sa'), 5)
90 = (('localhost', 'platform_test_10', 'root', 'sa'), 5)
91 = (('localhost', 'platform_test_11', 'root', 'sa'), 5)
92 = (('localhost', 'platform_test_12', 'root', 'sa'), 5)
93 = (('localhost', 'platform_test_13', 'root', 'sa'), 5)
94 = (('localhost', 'platform_test_14', 'root', 'sa'), 5)
